Dizzy Gillespie
Charlie Parker
Miles Davis
John Coltrane
Thelonious Monk
Charles Mingus
Chet Baker
Max Roach
Duke Ellington
Coleman Hawkins
Ben Webster
Ron Carter
Stan Getz
Bill Evans
Dexter Gordon
Paul Chambers
Sonny Rollins
Bud Powell
Paul Desmond
Art Blakey
Kenny Burrell
Kenny Clarke
Oscar Peterson
Wayne Shorter
Horace Silver

Art Farmer
Lee Morgan
Jim Hall
Hank Mobley
Wes Montgomery
Freddie Hubbard
Lee Konitz
Kenny Dorham
Joe Henderson
Elvin Jones
McCoy Tyner
Milt Jackson
Cannonball Adderley
Gerry Mulligan
Sonny Stitt
